dotty, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 33737.04, Thu Oct 26 21:10:31 CEST 2017, 75377.741 41688.811 36523.800 36049.211 36855.163 33976.863 34480.456 34312.798 34365.653 34654.223 , 33675.240 33871.685 34081.881 34606.686 33663.334 33692.315 34061.987 34557.234 33359.965 33974.570 33781.765 34493.563 33116.279 33369.934 33611.315 34334.897 33259.047 33267.889 33601.941 34289.846
tests/exhaustivity-I.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 181.1355, Thu Oct 26 21:29:20 CEST 2017, 3906.922 1308.890 1001.513 824.643 756.690 689.550 597.350 381.719 464.336 316.161 281.090 262.795 255.851 261.127 226.767 217.679 211.689 204.637 202.319 206.058 3957.379 1183.740 1003.545 1052.073 761.146 662.095 503.275 478.506 446.916 311.138 281.025 262.354 257.391 245.790 284.431 274.936 216.336 205.396 204.295 209.178 3898.960 1151.590 829.689 694.499 625.958 538.582 519.317 546.682 393.917 310.007 413.275 352.132 257.244 248.331 250.448 223.870 218.489 216.639 207.380 223.157 , 191.556 189.861 191.337 227.004 190.309 182.533 180.366 186.871 183.393 184.537 181.683 179.384 181.189 178.260 185.330 183.002 192.697 217.571 176.845 180.202 181.193 172.657 189.088 233.861 189.737 172.777 169.484 170.242 166.642 169.504 166.766 168.232 167.512 165.868 167.074 166.058 167.445 163.807 164.530 166.484 202.665 214.031 193.719 190.703 191.651 201.305 185.874 189.631 187.042 182.752 184.678 181.082 182.193 178.005 176.747 179.662 177.654 185.055 184.478 181.438 181.060 173.009 207.772 200.466 204.036 181.902 171.597 172.144 173.919 167.082 174.855 188.868 168.081 170.888 168.350 169.310 166.381 166.430 168.746 166.493 199.170 196.675 200.896 193.578 193.186 190.414 187.994 191.547 192.429 192.248 187.467 183.907 185.878 181.392 185.292 181.831 182.566 185.714 180.024 183.086 178.630 177.652 178.228 175.129 178.057 175.854 175.465 175.610 170.796 174.418 173.176 174.601 174.841 250.253 170.417 208.841 169.827 170.539 177.456 166.467
tests/exhaustivity-S.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 304.6805, Thu Oct 26 21:33:04 CEST 2017, 4248.710 1236.963 902.138 813.627 752.428 475.090 440.139 426.630 412.949 412.765 406.277 379.038 378.725 374.660 371.204 379.462 390.293 373.823 370.848 361.081 3854.441 1185.915 901.339 651.271 525.249 456.226 591.588 506.574 421.730 356.361 390.864 359.647 316.018 305.562 300.408 299.363 298.159 298.683 298.791 290.745 4076.564 1169.337 1190.826 1079.236 819.166 735.536 662.925 433.105 546.102 474.198 414.145 343.370 336.937 331.662 326.723 327.693 320.546 320.681 355.479 324.943 , 381.397 354.206 355.745 366.225 361.394 371.076 371.033 376.645 389.551 376.765 351.884 363.579 345.680 435.435 380.677 362.741 342.505 347.630 343.023 340.369 341.956 341.878 339.512 341.194 344.860 340.658 339.796 340.731 338.754 337.351 339.137 340.181 340.197 338.361 339.020 337.359 342.961 338.774 339.184 343.339 288.079 287.030 286.648 317.667 288.403 285.244 280.930 334.926 287.475 279.321 276.210 275.437 291.685 291.798 284.460 275.964 275.353 276.368 272.331 272.683 275.614 272.622 271.604 270.634 270.222 271.643 275.145 318.202 270.205 268.813 273.797 271.170 269.472 269.231 291.177 310.193 278.001 267.078 268.776 270.025 312.972 314.809 309.692 309.516 317.682 309.478 350.556 313.281 306.781 303.738 307.740 300.614 300.484 319.535 313.947 305.623 295.898 295.447 313.173 295.346 294.994 295.482 298.885 294.086 293.016 291.155 292.712 291.670 298.097 291.133 291.905 321.677 293.911 291.531 298.294 290.208 292.179 302.982 430.407 302.244
tests/exhaustivity-T.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 854.551, Thu Oct 26 21:38:13 CEST 2017, 4838.361 1830.116 1390.143 1294.571 1633.453 1501.885 1234.389 1238.537 1328.374 1149.307 1109.165 1183.645 1095.702 1196.588 1179.097 1138.135 1038.090 1169.701 1109.980 1314.923 4802.695 1815.002 1532.650 1460.686 1474.847 1398.826 1285.549 1086.286 1027.774 1010.565 997.721 1089.726 923.267 916.942 917.324 887.278 884.834 895.987 950.292 879.447 4775.790 2375.398 1474.742 1265.113 1368.977 1126.482 1057.468 1058.740 980.740 972.432 933.484 936.226 890.178 879.067 879.596 895.719 865.571 848.470 844.867 847.729 , 1002.494 1007.340 983.798 984.461 982.980 991.574 976.370 985.679 963.019 1005.091 962.356 960.814 959.428 955.070 971.558 1140.167 978.093 947.929 949.385 947.942 946.333 944.011 941.163 947.226 947.193 940.566 955.869 943.104 956.240 954.104 947.480 940.016 934.574 934.077 934.171 933.350 934.965 931.285 933.874 938.003 861.407 900.253 915.484 873.217 868.001 1016.945 899.497 879.260 852.456 845.339 849.966 846.614 843.733 842.561 845.572 856.669 841.332 856.646 838.946 844.175 866.192 842.070 864.841 938.200 836.667 834.499 835.423 840.624 835.599 832.736 838.498 833.123 833.905 835.315 839.842 830.766 877.743 832.420 835.003 1011.715 851.565 1008.717 860.138 873.093 874.471 829.112 827.299 839.704 845.093 840.533 847.623 835.265 860.613 845.234 837.909 818.840 829.901 818.067 819.972 812.129 824.575 814.682 822.393 837.361 823.578 816.966 821.101 813.369 808.333 817.779 807.382 811.978 810.269 812.369 810.654 809.853 810.819 807.354 814.504 810.441
tests/exhaustivity-V.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 1684.3425, Thu Oct 26 21:43:52 CEST 2017, 5331.862 2882.019 2345.015 2642.692 2557.337 2143.107 2011.281 2208.205 2132.370 2040.308 1959.280 1941.576 1952.860 1947.205 1941.175 1941.459 2026.071 2101.849 1968.725 1918.052 5221.571 3231.624 2297.333 1866.595 1930.077 1809.599 1792.564 1760.644 1735.531 1654.306 1615.759 1612.678 1601.726 1585.644 1582.456 1583.229 1574.520 1571.118 1608.706 1675.626 5119.708 2521.996 2268.869 1965.124 2226.065 1969.571 1882.935 1880.884 1916.305 1847.096 1791.127 1782.790 1742.568 1748.005 1759.332 1727.941 1723.133 1726.929 1980.308 1713.002 , 1906.404 1940.024 1931.092 1941.199 1909.285 1920.841 1889.776 1895.067 1952.570 1891.987 1878.123 1899.410 1871.581 1885.818 1883.013 1886.018 1888.147 1883.349 1909.065 1879.184 1880.793 1873.737 1876.024 1899.366 1873.141 1876.846 1874.565 1874.526 1866.650 1866.428 1867.822 1864.906 1863.731 1864.316 1865.732 1880.734 2000.421 1887.226 1872.381 1879.041 1834.617 1557.227 1537.524 1538.320 1545.370 1529.138 1543.037 1535.015 1599.733 1559.130 1541.012 1529.155 1526.805 1528.034 1525.307 1520.456 1521.359 1517.067 1522.565 1532.275 1511.442 1535.351 1541.726 1527.698 1529.642 1531.863 1530.689 1531.184 1517.097 1523.596 1512.747 1524.655 1508.404 1540.817 1518.620 1543.990 1527.318 1521.904 1511.364 1511.151 1706.005 1759.523 1792.637 1699.629 1693.532 1700.849 1688.228 1690.190 1697.429 1684.754 1683.336 1702.910 1696.726 1677.761 1675.390 1677.709 1685.119 2598.459 1706.714 1683.931 1682.615 1678.076 1690.272 1677.078 1679.182 1678.662 1681.811 1678.299 1682.739 1674.444 1677.045 1683.517 1670.487 1679.174 1707.968 1695.778 1710.342 1673.814 1671.218 1667.886
tests/implicitNums.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 748.247, Thu Oct 26 21:44:47 CEST 2017, 6213.795 2709.506 2481.973 1793.216 1553.780 1122.150 887.984 883.474 834.765 836.108 , 797.226 781.092 778.979 780.123 756.296 766.949 752.227 747.043 780.967 742.610 737.533 743.619 740.976 749.451 744.843 732.338 760.495 746.344 739.774 743.131
tests/scalapb, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 7203.613, Thu Oct 26 21:49:16 CEST 2017, 31066.725 12730.613 10432.650 8652.858 8003.244 7871.763 8069.595 7564.241 7539.813 7382.907 , 7359.137 7310.182 7309.101 7260.735 7210.148 7254.098 7420.791 7194.661 7170.919 7165.169 7195.157 7220.386 7207.166 7147.103 7149.461 7395.973 7115.164 7120.204 7197.021 7200.060
dotty, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 34486.6785, Thu Oct 26 23:08:18 CEST 2017, 76443.229 40693.448 37282.431 36339.213 36810.686 35656.569 35325.754 34839.386 35120.141 34775.273 , 35149.816 34456.749 34396.509 34826.294 35468.728 34385.651 34516.608 34539.741 35501.983 34168.190 34310.597 34549.491 35093.039 34034.039 34137.670 34307.710 35256.732 34060.858 34118.193 34613.124
tests/scala-library, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 5737.1365, Thu Oct 26 23:11:41 CEST 2017, 23344.067 10605.786 8107.194 6952.975 6475.971 6183.009 6154.936 6183.696 5976.727 6090.634 , 5909.658 5910.268 5805.435 5801.179 5731.340 5802.534 5779.316 5742.933 5744.517 5694.572 5679.216 5683.051 6006.733 5677.396 5606.399 5622.793 5598.509 5567.906 5798.741 5724.212
tests/implicit_cache.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 118.525, Thu Oct 26 23:12:17 CEST 2017, 2830.249 595.829 508.725 384.712 304.137 238.273 228.450 145.534 135.006 133.402 , 128.629 132.588 131.943 133.303 131.181 118.416 122.539 116.944 122.126 126.852 118.634 125.049 112.085 112.851 110.935 112.984 110.024 111.171 108.933 110.227
tests/implicit-scope-loop.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 123.974, Thu Oct 26 23:12:54 CEST 2017, 3068.407 533.506 411.409 355.576 294.090 246.760 182.749 160.919 151.490 160.712 , 136.227 139.018 130.776 130.171 126.485 126.578 127.207 123.840 125.005 122.080 123.880 119.205 118.923 121.683 124.068 120.260 115.675 118.319 129.330 115.248
tests/i1535.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 151.7195, Thu Oct 26 23:13:31 CEST 2017, 3366.583 756.504 607.567 513.624 465.283 286.533 259.623 216.766 240.795 267.981 , 202.979 175.651 169.914 162.516 155.876 157.293 159.726 152.336 151.103 155.914 150.640 148.569 150.838 146.230 152.430 145.681 141.258 142.529 146.454 140.204
tests/i1687.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 101.242, Thu Oct 26 23:14:07 CEST 2017, 2844.245 433.919 354.264 326.083 320.871 246.581 139.490 125.249 131.772 112.184 , 108.518 107.722 108.180 105.974 106.224 105.975 101.222 102.830 98.566 101.262 100.131 100.566 101.918 99.757 99.699 102.557 96.044 97.068 94.409 98.492
tests/Vector.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 558.618, Thu Oct 26 23:17:37 CEST 2017, 6520.963 2460.125 1877.744 1720.741 1595.138 1329.375 1247.458 1044.997 871.807 869.180 775.915 746.714 716.952 694.788 659.841 662.158 664.108 629.930 620.927 607.740 7691.406 2837.713 1792.822 1919.624 1509.839 1381.531 1242.193 1129.570 879.775 1044.295 783.965 665.427 790.923 642.447 612.186 618.925 604.799 595.555 585.696 572.448 6443.784 2506.576 2176.255 1516.543 1314.408 1424.615 1092.934 1467.321 1363.067 875.902 842.320 734.092 781.799 700.711 668.031 889.587 685.277 672.333 689.209 609.387 , 625.868 612.834 617.955 606.561 670.215 577.877 571.630 581.614 565.303 564.040 566.751 596.064 567.566 583.330 558.625 569.334 555.414 545.551 557.526 541.617 553.934 592.446 565.590 542.847 537.735 543.978 561.580 541.226 539.603 539.909 588.027 566.231 565.572 553.109 588.631 576.987 553.710 562.920 545.770 567.606 566.239 544.956 534.578 541.106 534.271 541.234 531.521 524.479 524.220 534.824 522.986 527.657 531.865 520.515 525.589 535.834 530.219 521.023 516.097 519.162 619.244 596.516 599.783 595.243 611.415 583.986 581.959 568.573 579.998 560.659 582.654 574.560 614.529 578.698 551.569 558.611 577.400 556.498 578.842 568.552 551.490 554.493 548.684 562.158 536.353 539.155 555.935 553.422 541.791 539.288
tests/empty-class.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 79.5595, Thu Oct 26 23:18:12 CEST 2017, 2333.260 442.963 258.543 195.517 223.393 167.639 121.836 100.050 94.363 86.299 , 84.064 82.670 84.842 80.187 82.841 80.152 81.769 78.905 78.967 80.588 78.286 77.008 77.956 81.956 77.137 77.674 104.133 77.186 75.891 75.211
tests/empty-object.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 81.3045, Thu Oct 26 23:18:47 CEST 2017, 2349.498 422.382 326.352 216.798 184.385 153.623 125.879 130.832 114.330 88.091 , 85.302 83.185 85.453 85.473 84.060 83.442 81.204 79.393 89.613 77.909 79.614 77.995 80.394 78.000 79.538 80.957 81.405 78.562 81.911 88.918
tests/empty-file.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 62.44, Thu Oct 26 23:19:21 CEST 2017, 1949.073 256.784 180.024 153.045 144.794 117.991 93.342 80.073 70.234 67.678 , 66.283 69.145 66.414 62.619 64.113 62.261 63.153 63.224 61.297 62.083 62.660 62.851 60.403 61.749 61.824 60.389 61.748 62.959 60.995 59.867
tests/patmatexhaust.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 299.269, Thu Oct 26 23:23:18 CEST 2017, 5019.277 1663.137 1365.932 1215.016 1057.072 858.988 771.940 807.781 671.530 672.977 649.400 630.447 454.067 413.113 532.744 416.946 480.418 380.345 372.349 353.197 5027.667 2157.758 1666.391 1224.404 876.966 755.100 870.821 824.656 759.164 694.491 684.877 524.571 557.220 595.838 426.259 406.400 376.796 360.331 399.661 397.243 5290.911 1738.743 1514.083 1001.253 975.015 843.587 699.096 558.531 725.042 599.829 464.456 425.127 531.833 436.726 392.838 370.726 372.561 392.311 394.487 340.568 , 349.445 350.612 350.461 334.184 326.202 323.508 361.540 321.215 339.451 363.821 305.307 319.247 344.245 339.457 300.179 307.176 300.386 294.527 320.677 299.396 292.706 300.974 295.013 359.507 294.585 292.907 284.350 291.469 292.410 285.363 288.359 281.717 280.696 290.308 281.988 294.803 283.041 281.550 289.543 285.658 344.641 333.809 357.418 346.962 330.745 335.528 348.109 344.958 398.391 354.026 310.116 300.454 310.155 328.632 313.203 306.509 292.234 291.694 299.125 298.163 294.374 298.492 289.780 299.123 291.474 287.640 299.142 289.219 366.987 282.069 291.738 281.019 277.127 350.179 380.052 276.887 281.190 274.213 273.334 281.753 333.669 457.268 466.995 397.143 333.629 315.200 311.139 312.285 309.243 302.989 307.266 299.792 297.296 304.764 297.900 326.968 298.949 293.720 290.208 301.109 289.875 375.256 290.574 285.739 281.232 287.084 370.512 312.978 292.131 281.480 278.969 327.403 285.081 277.943 288.356 276.853 274.577 290.925 276.193 300.428
tests/exhaustivity-I.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 181.01, Thu Oct 26 23:26:52 CEST 2017, 3819.959 1482.408 795.557 870.689 717.981 631.727 453.833 344.627 396.077 344.203 314.656 349.120 239.607 234.097 220.374 224.098 205.299 217.163 212.211 196.732 3934.013 1381.795 879.644 862.946 706.886 654.236 575.390 356.408 309.120 289.041 399.390 286.682 276.730 351.426 277.260 312.916 233.180 224.630 204.245 204.797 4082.055 1455.732 1151.495 699.059 697.889 690.548 593.439 557.097 371.986 323.629 380.395 274.904 252.378 244.324 234.576 221.916 219.222 207.519 207.863 206.678 , 194.035 194.869 222.441 189.255 192.232 185.433 187.771 183.960 185.664 183.074 181.033 210.033 185.804 180.781 182.778 187.145 187.861 184.511 181.371 183.387 176.101 178.940 177.557 181.272 175.194 174.708 175.349 171.797 173.329 172.391 171.043 174.091 170.501 172.405 170.104 172.250 171.209 169.156 171.185 169.075 196.926 194.657 194.544 213.551 210.233 242.801 215.267 191.038 188.779 183.301 185.637 187.028 186.069 184.068 179.544 182.269 178.066 204.953 230.388 180.832 193.333 183.808 179.538 179.395 177.415 179.255 170.761 170.891 175.466 167.914 170.948 169.620 170.715 171.821 168.573 168.382 170.262 168.622 169.605 167.145 199.000 199.188 197.701 192.790 197.339 189.096 187.075 209.087 190.676 190.179 202.319 188.545 194.964 183.947 187.040 187.321 189.863 189.880 182.693 180.987 192.972 175.441 178.687 179.936 175.388 178.654 174.696 175.616 182.598 170.852 174.012 170.374 174.740 170.218 169.830 172.136 168.377 170.513 168.031 168.247
tests/exhaustivity-S.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 301.2085, Thu Oct 26 23:30:34 CEST 2017, 4131.229 1151.121 722.721 703.343 611.300 550.783 538.747 542.730 513.787 358.515 343.113 341.329 334.405 335.096 335.091 342.329 345.979 323.186 383.737 340.066 4058.988 1267.371 959.809 730.916 663.466 526.273 407.997 414.817 377.590 352.664 337.738 330.950 322.298 337.281 319.002 313.812 311.996 387.736 311.945 322.616 4249.521 1642.297 1129.151 791.702 665.582 536.870 646.650 555.211 441.834 540.376 407.662 446.657 427.880 401.487 377.857 373.351 372.355 368.789 368.633 363.462 , 325.405 315.648 306.313 378.981 305.322 301.135 307.822 302.316 307.354 301.282 323.690 296.805 295.695 302.284 299.026 305.626 295.997 291.342 293.330 315.427 291.247 296.921 289.046 289.471 288.356 288.911 292.505 291.512 287.561 291.060 286.968 286.629 286.008 286.786 286.583 289.524 286.423 286.436 285.313 285.359 319.470 308.566 320.454 319.364 309.190 297.820 296.564 296.173 295.855 294.811 294.571 292.986 292.236 293.032 291.083 292.402 294.702 291.439 289.379 289.050 301.717 302.007 290.138 287.564 297.926 288.247 291.246 294.603 285.828 287.366 284.921 284.407 286.862 286.508 286.671 286.653 290.361 286.471 285.740 285.124 400.789 390.628 360.241 364.935 362.116 360.895 353.975 355.303 386.512 397.327 376.040 368.091 355.225 352.317 351.661 355.945 350.869 349.435 348.530 348.643 347.113 348.840 345.771 384.552 346.684 346.700 351.936 350.215 345.963 343.728 344.723 350.962 347.809 342.541 344.051 344.810 342.972 355.290 343.293 343.820
tests/exhaustivity-T.scala, 3393, 2017-10-26T20:46:01Z, 32b4e1c, 952.015, Thu Oct 26 23:35:40 CEST 2017, 4893.847 1835.007 1504.849 1451.820 1579.199 1513.696 1278.046 1284.148 1275.185 1211.422 1162.353 1049.665 1051.328 1028.174 1022.000 982.655 971.202 1027.669 973.000 1062.599 5295.632 2266.831 1747.029 1717.017 1652.599 1207.861 1151.290 1116.436 1244.321 1478.427 1230.148 1172.558 1211.740 1196.644 1278.724 1148.503 1021.763 999.222 1041.851 1101.597 4934.145 2020.515 1410.834 1332.064 1604.152 1270.903 1322.041 1415.434 1135.286 1114.558 1122.992 1089.949 1074.612 1067.149 1048.754 1049.225 1041.531 1037.450 1022.831 1026.764 , 1005.213 958.090 933.437 931.253 935.225 931.641 929.389 926.570 923.118 920.810 924.299 926.524 942.070 913.628 911.549 930.436 924.166 1031.647 946.424 920.029 913.383 907.200 907.716 903.326 907.819 903.181 1001.566 1012.567 911.261 916.842 908.748 909.623 904.911 902.987 900.776 901.652 901.028 898.989 902.086 897.501 985.414 968.609 967.071 1023.101 961.177 982.210 1020.328 958.165 957.118 957.601 952.471 957.307 954.619 949.037 965.738 941.282 940.383 953.276 944.866 940.779 937.339 948.429 938.354 936.164 931.699 938.039 945.162 951.559 935.488 936.069 938.311 930.299 927.674 933.673 932.310 929.108 939.653 941.072 933.228 939.441 1020.490 1016.032 1015.704 1001.177 1002.568 1038.442 1013.382 1125.314 1019.196 994.915 1003.826 989.864 986.397 985.445 983.526 1038.006 1011.380 977.254 990.622 977.044 1081.476 1002.069 993.301 1033.033 1002.629 980.950 980.599 972.943 974.137 976.112 977.180 971.989 964.419 974.771 971.955 979.192 1015.455 971.291 967.478 964.110
